r,nercr,transreg,transgrp,st,interconnect,hurdlereg
WA,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Bonneville_Power_Administration
OR,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,Bonneville_Power_Administration
CA_NorthernGrid,WECC_NW,NorthernGrid,NorthernGrid_South,CA,western,PacifiCorp_West
CA_N_CAISO,WECC_CA,CAISO,CAISO,CA,western,CAISO
CA_S_CAISO,WECC_CA,CAISO,CAISO,CA,western,CAISO
NV,WECC_SW,NorthernGrid,NorthernGrid_South,NV,western,Nevada_Power_Co
ID_NW,WECC_NW,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co
ID_BA,WECC_BA,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co
MT_NorthernGrid,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy
WY_NorthernGrid,WECC_RM,NorthernGrid,NorthernGrid_East,WY,western,PacifiCorp_East
WY_WestConnect,WECC_RM,WestConnect,WestConnect_North,WY,western,WAPA_Rocky_Mountain_Region
UT,WECC_BA,NorthernGrid,NorthernGrid_South,UT,western,PacifiCorp_East
AZ,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co
NM_WestConnect,WECC_SW,WestConnect,WestConnect_South,NM,western,Public_Service_Co_of_New_Mexico
SD_WestConnect,WECC_RM,WestConnect,WestConnect_North,SD,western,WAPA_Rocky_Mountain_Region
CO,WECC_RM,WestConnect,WestConnect_North,CO,western,Public_Service_Co_of_Colorado
MT_SPP,SPP,SPP,SPP_North,MT,eastern,SPP
ND_SPP,SPP,SPP,SPP_North,ND,eastern,SPP
ND_MISO,MISO,MISO,MISO_North,ND,eastern,MISO
SD_SPP,SPP,SPP,SPP_North,SD,eastern,SPP
NE,SPP,SPP,SPP_North,NE,eastern,SPP
MN,MISO,MISO,MISO_North,MN,eastern,MISO
IA,MISO,MISO,MISO_North,IA,eastern,MISO
WI,MISO,MISO,MISO_North,WI,eastern,MISO
NM_SPP,SPP,SPP,SPP_South,NM,eastern,SPP
TX_SPP_N,SPP,SPP,SPP_South,TX,eastern,SPP
OK,SPP,SPP,SPP_South,OK,eastern,SPP
KS,SPP,SPP,SPP_South,KS,eastern,SPP
MO_SPP,SPP,SPP,SPP_South,MO,eastern,SPP
AR_SPP,SPP,SPP,SPP_South,AR,eastern,SPP
TX_SPP_E,SPP,SPP,SPP_South,TX,eastern,SPP
LA,MISO,MISO,MISO_South,LA,eastern,MISO
TX_WestConnect,WECC_SW,WestConnect,WestConnect_South,TX,western,El_Paso_Electric
TX_W_ERCOT,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
TX_E_ERCOT,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
TX_MISO,MISO,MISO,MISO_South,TX,eastern,MISO
MO_MISO,MISO,MISO,MISO_Central,MO,eastern,MISO
MI_MISO,MISO,MISO,MISO_Central,MI,eastern,MISO
IL_PJM,PJM,PJM,PJM_West,IL,eastern,PJM
IL_MISO,MISO,MISO,MISO_Central,IL,eastern,MISO
AR_MISO,MISO,MISO,MISO_South,AR,eastern,MISO
MS_MISO,MISO,MISO,MISO_South,MS,eastern,MISO
MS_SERTP,SERC_C,SERTP,SERTP,MS,eastern,Tennessee_Valley_Authority
AL,SERC_SE,SERTP,SERTP,AL,eastern,PowerSouth_Energy_Coop
FL_SERTP,SERC_SE,SERTP,SERTP,FL,eastern,Southern_Co_Services_Inc
TN,SERC_C,SERTP,SERTP,TN,eastern,Tennessee_Valley_Authority
KY_SERTP,SERC_C,SERTP,SERTP,KY,eastern,Tennessee_Valley_Authority
GA,SERC_SE,SERTP,SERTP,GA,eastern,Southern_Co_Services_Inc
SC,SERC_E,SERTP,SERTP,SC,eastern,South_Carolina_Electric_Gas_Co
NC,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Carolinas_LLC
VA,PJM,PJM,PJM_East,VA,eastern,PJM
FL_FRCC,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc
MI_PJM,PJM,PJM,PJM_West,MI,eastern,PJM
IN,MISO,MISO,MISO_Central,IN,eastern,MISO
KY_MISO,MISO,MISO,MISO_Central,KY,eastern,MISO
KY_PJM,PJM,PJM,PJM_East,KY,eastern,PJM
OH,PJM,PJM,PJM_East,OH,eastern,PJM
PA,PJM,PJM,PJM_East,PA,eastern,PJM
WV,PJM,PJM,PJM_East,WV,eastern,PJM
MD,PJM,PJM,PJM_East,MD,eastern,PJM
DE,PJM,PJM,PJM_East,DE,eastern,PJM
NJ,PJM,PJM,PJM_East,NJ,eastern,PJM
NY_UP,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO
NY_NYCLI,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO
VT,NPCC_NE,ISONE,ISONE,VT,eastern,ISONE
NH,NPCC_NE,ISONE,ISONE,NH,eastern,ISONE
MA,NPCC_NE,ISONE,ISONE,MA,eastern,ISONE
CT,NPCC_NE,ISONE,ISONE,CT,eastern,ISONE
RI,NPCC_NE,ISONE,ISONE,RI,eastern,ISONE
ME,NPCC_NE,ISONE,ISONE,ME,eastern,ISONE
