r,st,transreg,transgrp,nercr,interconnect,hurdlereg
WA_W,WA,NorthernGrid,NorthernGrid_West,WECC_NW,western,Bonneville_Power_Administration
WA_E,WA,NorthernGrid,NorthernGrid_West,WECC_NW,western,Avista_Corp
OR_W,OR,NorthernGrid,NorthernGrid_West,WECC_NW,western,Bonneville_Power_Administration
OR_E,OR,NorthernGrid,NorthernGrid_West,WECC_NW,western,Bonneville_Power_Administration
CA_N,CA,CAISO,CAISO,WECC_CA,western,CAISO
CA_S,CA,CAISO,CAISO,WECC_CA,western,CAISO
CA_LA,CA,CAISO,CAISO,WECC_CA,western,CAISO
CA_SE,CA,CAISO,CAISO,WECC_CA,western,CAISO
ID_N,ID,NorthernGrid,NorthernGrid_East,WECC_NW,western,Bonneville_Power_Administration
ID_S,ID,NorthernGrid,NorthernGrid_East,WECC_BA,western,Idaho_Power_Co
MT_W,MT,NorthernGrid,NorthernGrid_East,WECC_NW,western,Northwestern_Energy
MT_C,MT,NorthernGrid,NorthernGrid_East,WECC_NW,western,Northwestern_Energy
MT_E,MT,SPP,SPP_North,SPP,eastern,MISO
NV_N,NV,NorthernGrid,NorthernGrid_South,WECC_SW,western,Nevada_Power_Co
NV_LV,NV,NorthernGrid,NorthernGrid_South,WECC_SW,western,Nevada_Power_Co
UT,UT,NorthernGrid,NorthernGrid_South,WECC_BA,western,PacifiCorp_East
WY_W,WY,NorthernGrid,NorthernGrid_East,WECC_RM,western,PacifiCorp_East
WY_E,WY,WestConnect,WestConnect_North,WECC_RM,western,WAPA_Rocky_Mountain_Region
CO_W,CO,WestConnect,WestConnect_North,WECC_RM,western,WAPA_Rocky_Mountain_Region
CO_E,CO,WestConnect,WestConnect_North,WECC_RM,western,WAPA_Rocky_Mountain_Region
AZ_N,AZ,WestConnect,WestConnect_South,WECC_SW,western,Arizona_Public_Service_Co
AZ_S,AZ,WestConnect,WestConnect_South,WECC_SW,western,Arizona_Public_Service_Co
NM_W,NM,WestConnect,WestConnect_South,WECC_SW,western,Public_Service_Co_of_New_Mexico
NM_E,NM,SPP,SPP_South,SPP,eastern,SPP
TX_EP,TX,WestConnect,WestConnect_South,WECC_SW,western,ERCOT
TX_N,TX,ERCOT,ERCOT,ERCOT,texas,ERCOT
TX_W,TX,ERCOT,ERCOT,ERCOT,texas,ERCOT
TX_S,TX,ERCOT,ERCOT,ERCOT,texas,ERCOT
TX_PAN,TX,SPP,SPP_South,SPP,eastern,SPP
TX_SPP,TX,SPP,SPP_South,SPP,eastern,SPP
TX_HOU,TX,ERCOT,ERCOT,ERCOT,texas,ERCOT
TX_MISO,TX,MISO,MISO_South,MISO,eastern,MISO
ND_SPP,ND,SPP,SPP_North,SPP,eastern,SPP
ND_MISO,ND,MISO,MISO_North,MISO,eastern,MISO
SD,SD,SPP,SPP_North,SPP,eastern,SPP
NE,NE,SPP,SPP_North,SPP,eastern,SPP
KS,KS,SPP,SPP_South,SPP,eastern,SPP
OK,OK,SPP,SPP_South,SPP,eastern,SPP
