Gas-CC,55
h2-fuel-cell,40
Gas-CC_H_1x1,55
Gas-CC_H_2x1,55
Gas-CC-CCS_mod,55
Gas-CC-CCS_max,55
Gas-CC_H_1x1-CCS_mod,55
Gas-CC_H_1x1-CCS_max,55
Gas-CC_H_2x1-CCS_mod,55
Gas-CC_H_2x1-CCS_max,55
Gas-CC-CCS-F1,55
Gas-CC-CCS-F2,55
Gas-CC-CCS-F3,55
Gas-CT,55
Gas-CT_aero,55
ng-fuel-cell,30
H2-CT,55
o-g-s,55
coal-CCS_mod,70
coal-CCS_max,70
coal-CCS-F1,70
coal-CCS-F2,70
coal-CCS-F3,70
Coal-IGCC,70
coal-new,70
CoalOldScr,70
CoalOldUns,70
CofireNew,70
CofireOld,70
wind-ofs_1*wind-ofs_10,30
wind-ons_1*wind-ons_10,30
upv_1*upv_10,30
pvb1_1*pvb1_10,30
pvb2_1*pvb2_10,30
pvb3_1*pvb3_10,30
H2-CC,55
biopower,45
beccs_mod,45
beccs_max,45
geothermal,30
egs_allkm_1*egs_allkm_10,30
geohydro_allkm_1*geohydro_allkm_10,30
egs_nearfield_1*egs_nearfield_10,30
Nuclear,80
Nuclear-SMR,80
hydro,300
hydD,300
hydND,300
hydSD,300
hydSND,300
hydUD,300
hydUND,300
hydNPD,300
hydNPND,300
hydED,300
hydEND,300
csp1_1*csp1_12,30
csp2_1*csp2_12,30
csp3_1*csp3_12,30
csp4_1*csp4_12,30
battery_li,30
dr_shed_1*dr_shed_2,8
evmc_storage_1*evmc_storage_10,1
evmc_shape_1*evmc_shape_10,1
electrolyzer,20
smr,25
smr_ccs,25
