r,nercr,transreg,transgrp,st,interconnect,hurdlereg
p1,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Puget_Sound_Energy_Inc
p2,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Bonneville_Power_Administration
p3,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Avista_Corp
p4,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,PUD_No2_of_Grant_County
p5,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,Bonneville_Power_Administration
p6,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,PacifiCorp_West
p7,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,Bonneville_Power_Administration
p8,WECC_NW,NorthernGrid,NorthernGrid_South,CA,western,PacifiCorp_West
p9,WECC_CA,CAISO,CAISO,CA,western,CAISO
p10,WECC_CA,CAISO,CAISO,CA,western,CAISO
p11,WECC_CA,CAISO,CAISO,CA,western,CAISO
p12,WECC_SW,NorthernGrid,NorthernGrid_South,NV,western,Nevada_Power_Co
p13,WECC_SW,NorthernGrid,NorthernGrid_South,NV,western,Nevada_Power_Co
p14,WECC_NW,NorthernGrid,NorthernGrid_East,ID,western,Avista_Corp
p15,WECC_BA,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co
p16,WECC_BA,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co
p17,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy
p18,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy
p19,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,WAPA_Upper_Great_Plains_West
p20,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy
p21,WECC_RM,NorthernGrid,NorthernGrid_East,WY,western,PacifiCorp_East
p22,WECC_RM,NorthernGrid,NorthernGrid_East,WY,western,PacifiCorp_East
p23,WECC_RM,WestConnect,WestConnect_North,WY,western,WAPA_Rocky_Mountain_Region
p24,WECC_RM,WestConnect,WestConnect_North,WY,western,WAPA_Rocky_Mountain_Region
p25,WECC_BA,NorthernGrid,NorthernGrid_South,UT,western,PacifiCorp_East
p26,WECC_BA,NorthernGrid,NorthernGrid_South,UT,western,PacifiCorp_East
p27,WECC_SW,WestConnect,WestConnect_South,AZ,western,WAPA_Desert_Southwest_Region
z28,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co
p29,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co
p31,WECC_SW,WestConnect,WestConnect_South,NM,western,Public_Service_Co_of_New_Mexico
p32,WECC_RM,WestConnect,WestConnect_North,SD,western,WAPA_Rocky_Mountain_Region
p33,WECC_RM,WestConnect,WestConnect_North,CO,western,Public_Service_Co_of_Colorado
p34,WECC_RM,WestConnect,WestConnect_North,CO,western,Public_Service_Co_of_Colorado
p35,SPP,SPP,SPP_North,MT,eastern,SPP
p36,SPP,SPP,SPP_North,ND,eastern,SPP
p37,MISO,MISO,MISO_North,ND,eastern,MISO
p38,SPP,SPP,SPP_North,SD,eastern,SPP
p39,SPP,SPP,SPP_North,NE,eastern,SPP
p40,SPP,SPP,SPP_North,NE,eastern,SPP
p41,SPP,SPP,SPP_North,NE,eastern,SPP
p42,MISO,MISO,MISO_North,MN,eastern,MISO
p43,MISO,MISO,MISO_North,MN,eastern,MISO
p44,MISO,MISO,MISO_North,MN,eastern,MISO
p45,MISO,MISO,MISO_North,IA,eastern,MISO
p46,MISO,MISO,MISO_North,WI,eastern,MISO
p47,SPP,SPP,SPP_South,NM,eastern,SPP
p48,SPP,SPP,SPP_South,TX,eastern,SPP
p49,SPP,SPP,SPP_South,OK,eastern,SPP
p50,SPP,SPP,SPP_South,OK,eastern,SPP
p51,SPP,SPP,SPP_South,OK,eastern,SPP
p52,SPP,SPP,SPP_South,KS,eastern,SPP
p53,SPP,SPP,SPP_South,KS,eastern,SPP
p54,SPP,SPP,SPP_South,MO,eastern,SPP
p55,SPP,SPP,SPP_South,MO,eastern,SPP
p56,SPP,SPP,SPP_South,AR,eastern,SPP
p57,SPP,SPP,SPP_South,TX,eastern,SPP
p58,MISO,MISO,MISO_South,LA,eastern,MISO
p59,WECC_SW,WestConnect,WestConnect_South,TX,western,El_Paso_Electric
p60,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p61,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p62,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p63,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p64,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p65,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p66,MISO,MISO,MISO_South,TX,eastern,MISO
p67,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
p68,MISO,MISO,MISO_North,MN,eastern,MISO
p69,MISO,MISO,MISO_North,IA,eastern,MISO
p70,MISO,MISO,MISO_North,IA,eastern,MISO
p71,MISO,MISO,MISO_Central,MO,eastern,MISO
p72,MISO,MISO,MISO_Central,MO,eastern,MISO
p73,MISO,MISO,MISO_Central,MO,eastern,MISO
p74,MISO,MISO,MISO_North,MI,eastern,MISO
p75,MISO,MISO,MISO_North,WI,eastern,MISO
p76,MISO,MISO,MISO_North,WI,eastern,MISO
p77,MISO,MISO,MISO_North,WI,eastern,MISO
p78,MISO,MISO,MISO_North,WI,eastern,MISO
p79,MISO,MISO,MISO_North,WI,eastern,MISO
p80,PJM,PJM,PJM_West,IL,eastern,PJM
p81,MISO,MISO,MISO_Central,IL,eastern,MISO
p82,MISO,MISO,MISO_Central,IL,eastern,MISO
p83,MISO,MISO,MISO_Central,IL,eastern,MISO
p84,MISO,MISO,MISO_Central,MO,eastern,MISO
p85,MISO,MISO,MISO_South,AR,eastern,MISO
p86,MISO,MISO,MISO_South,LA,eastern,MISO
p87,MISO,MISO,MISO_South,MS,eastern,MISO
p88,SERC_C,SERTP,SERTP,MS,eastern,Tennessee_Valley_Authority
p89,SERC_SE,SERTP,SERTP,AL,eastern,Southern_Co_Services_Inc
p90,SERC_SE,SERTP,SERTP,AL,eastern,PowerSouth_Energy_Coop
p91,SERC_SE,SERTP,SERTP,FL,eastern,Southern_Co_Services_Inc
p92,SERC_C,SERTP,SERTP,TN,eastern,Tennessee_Valley_Authority
p93,SERC_C,SERTP,SERTP,KY,eastern,Tennessee_Valley_Authority
p94,SERC_SE,SERTP,SERTP,GA,eastern,Southern_Co_Services_Inc
p95,SERC_E,SERTP,SERTP,SC,eastern,Duke_Energy_Carolinas_LLC
p96,SERC_E,SERTP,SERTP,SC,eastern,South_Carolina_Electric_Gas_Co
p97,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Carolinas_LLC
p98,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Progress_East
p99,PJM,PJM,PJM_East,VA,eastern,PJM
p100,PJM,PJM,PJM_East,VA,eastern,PJM
p101,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc
p102,SERC_F,FRCC,FRCC,FL,eastern,Florida_Power_and_Light
p103,MISO,MISO,MISO_Central,MI,eastern,MISO
p104,PJM,PJM,PJM_West,MI,eastern,PJM
p105,MISO,MISO,MISO_Central,IN,eastern,MISO
p106,MISO,MISO,MISO_Central,IN,eastern,MISO
p107,MISO,MISO,MISO_Central,IN,eastern,MISO
p108,MISO,MISO,MISO_Central,KY,eastern,MISO
p109,PJM,PJM,PJM_East,KY,eastern,PJM
p110,PJM,PJM,PJM_East,KY,eastern,PJM
p111,PJM,PJM,PJM_East,OH,eastern,PJM
p112,PJM,PJM,PJM_East,OH,eastern,PJM
p113,PJM,PJM,PJM_East,OH,eastern,PJM
p114,PJM,PJM,PJM_East,OH,eastern,PJM
p115,PJM,PJM,PJM_East,PA,eastern,PJM
p116,PJM,PJM,PJM_East,WV,eastern,PJM
p117,PJM,PJM,PJM_East,WV,eastern,PJM
p118,PJM,PJM,PJM_East,VA,eastern,PJM
p120,PJM,PJM,PJM_East,PA,eastern,PJM
p121,PJM,PJM,PJM_East,MD,eastern,PJM
z122,PJM,PJM,PJM_East,PA,eastern,PJM
p123,PJM,PJM,PJM_East,MD,eastern,PJM
p124,PJM,PJM,PJM_East,VA,eastern,PJM
p125,PJM,PJM,PJM_East,DE,eastern,PJM
p126,PJM,PJM,PJM_East,NJ,eastern,PJM
p127,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO
p128,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO
p129,NPCC_NE,ISONE,ISONE,VT,eastern,ISONE
p130,NPCC_NE,ISONE,ISONE,NH,eastern,ISONE
p131,NPCC_NE,ISONE,ISONE,MA,eastern,ISONE
p132,NPCC_NE,ISONE,ISONE,CT,eastern,ISONE
p133,NPCC_NE,ISONE,ISONE,RI,eastern,ISONE
p134,NPCC_NE,ISONE,ISONE,ME,eastern,ISONE
